Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,Hw1-1a,Hw1-1b,Hw1-1c,Hw1-4a,Hw1-4b,Hw1-4c,Hw1-5a,Hw1-5b,Hw1-5c,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-1a,Hw2-1b,Hw2-1c,Hw2-4a,Hw2-4b,Hw2-4c,Hw2-5a,Hw2-5b,Hw2-5c,Hw2-6b,Hw2-6c,Wt1-1a,Wt1-1b,Wt1-1c,Wt1-4a,Wt1-4b,Wt1-4c,Wt1-5a,Wt1-5b,Wt1-5c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-1a,Wt2-1b,Wt2-1c,Wt2-4a,Wt2-4b,Wt2-4c,Wt2-5a,Wt2-5b,Wt2-5c,Wt2-6a,Wt2-6b,Wt2-6c
SymbC1.scaffold497.8,sp|P0CP46|PABP_CRYNJ,"Polyadenylate-binding protein, cytoplasmic and nuclear OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) GN=PAB1 PE=3 SV=1",9.40E-138,GO:0006810;GO:0003676;GO:0005634;GO:0005737;GO:0006397;GO:0003723;GO:0051028;GO:0006417,K13126,PF00076;PF00658;PF02586,129.8637324,0.355631653,0.077696971,4.577162379,0.00000471,0.0000325,TRUE,70,67,95,172,112,69,187,162,283,237,329,281,101,50,44,187,124,102,205,205,118,208,234,64,127,78,98,89,306,98,163,240,156,161,171,134,29,59,118,141,284,82,137,87,146,346,104
SymbC1.scaffold4972.3,sp|A8WIP6|CDK20_DANRE,Cyclin-dependent kinase 20 OS=Danio rerio GN=cdk20 PE=2 SV=1,1.17E-18,GO:0005737;GO:0004674;GO:0016301;GO:0051301;GO:0019912;GO:0007049;GO:0004672;GO:0006468;GO:0016310;GO:0005634;GO:1904031;GO:0042995;GO:0004693;GO:0060271;GO:0005524;GO:0007275;GO:0016740;GO:0000166;GO:0005929,K08817,PF00069,146.3206756,-0.275531105,0.092692999,-2.972512582,0.002953731,0.009934774,TRUE,112,106,155,174,148,116,284,232,374,326,408,381,133,91,91,209,150,154,306,291,213,273,282,81,131,65,86,88,234,52,159,223,132,211,145,208,38,56,82,124,295,76,114,56,113,211,95
SymbC1.scaffold4973.1,sp|Q5SMG8|MGTE_THET8,Magnesium transporter MgtE OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) GN=TTHA1060 PE=1 SV=1,1.47E-12,GO:0008324;GO:0006812;GO:0015095;GO:0006810;GO:0016020;GO:0042803;GO:0000287;GO:0005886;GO:1903830;GO:0016021;GO:0046872;GO:0015693;GO:0098655,K06213,PF01769,13.05984551,0.52532092,0.186339976,2.819153096,0.004815055,0.015121987,TRUE,8,10,12,10,6,8,19,8,31,25,29,20,16,4,10,17,13,4,23,28,15,27,19,6,15,8,8,12,21,11,12,18,15,13,13,15,6,6,5,16,34,5,17,9,18,26,10
SymbC1.scaffold4973.2,tr|A0A1Q9C7C6|A0A1Q9C7C6_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene40963 PE=4 SV=1,0.00000353,NA,NA,NA,584.1785187,-0.245532589,0.077857742,-3.153605324,0.00161267,0.005876599,TRUE,628,528,542,787,593,574,1217,672,1270,1545,1419,1424,487,282,206,761,505,420,786,1022,538,898,980,311,569,292,430,510,1095,470,671,876,510,765,679,589,146,202,436,422,1072,321,464,276,652,1254,444
SymbC1.scaffold4973.3,sp|P11144|HSP70_PLAFA,Heat shock 70 kDa protein OS=Plasmodium falciparum PE=2 SV=2,0.00E+00,GO:0005524;GO:0000166,NA,PF00012,420.8038218,0.342978774,0.089446582,3.834453647,0.000126,0.000621,TRUE,286,279,322,494,377,294,578,516,930,828,988,1061,272,211,123,510,345,311,495,436,392,571,716,210,372,244,334,356,823,311,328,757,602,528,550,435,138,180,416,391,1021,268,353,311,557,1178,379
SymbC1.scaffold4974.1,sp|Q6FXR8|ATG8_CANGA,Autophagy-related protein 8 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) GN=ATG8 PE=3 SV=1,4.61E-12,GO:0000329;GO:0005776;GO:0034629;GO:0016020;GO:0006810;GO:0005773;GO:0061025;GO:0044805;GO:0005737;GO:0031386;GO:0000421;GO:0006914;GO:0005774;GO:0061709;GO:0019898;GO:0032258;GO:0000422;GO:0006888;GO:0005829;GO:0031410;GO:0071211;GO:0000045;GO:0000407;GO:0034727;GO:0015031,K08341,PF02991,86.23552009,0.985203957,0.148214889,6.647132157,2.99E-11,5.03E-10,TRUE,39,25,30,47,29,35,93,92,164,107,140,108,72,62,48,101,78,65,173,251,105,178,152,54,92,64,55,75,118,27,193,215,116,112,125,130,31,33,32,78,163,82,100,52,108,187,57
SymbC1.scaffold4974.3,tr|A0A1Q9CKZ8|A0A1Q9CKZ8_SYMMI;tr|A0A1Q9EUE2|A0A1Q9EUE2_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene35623 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=ubiB PE=4 SV=1,3.37E-52,GO:0051537;GO:0016021;GO:0043231;GO:0016020,NA,NA,121.9340733,0.980177224,0.120509141,8.133633781,4.17E-16,1.33E-14,TRUE,28,55,68,100,83,54,138,173,245,186,246,271,76,49,26,157,105,67,319,222,104,189,186,44,93,61,90,82,278,76,125,231,178,146,134,176,45,61,164,203,376,86,105,121,133,302,131
SymbC1.scaffold4977.3,tr|A0A1Q9EDB3|A0A1Q9EDB3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene11397 PE=4 SV=1,2.49E-53,GO:0016020;GO:0016021,NA,NA,3.526029114,1.231078202,0.397680938,3.095642974,0.001963867,0.006967008,TRUE,3,1,0,3,3,0,7,1,7,5,9,8,0,0,0,0,0,0,2,4,1,2,2,6,6,0,4,6,20,3,1,3,1,1,4,5,1,4,8,7,12,3,1,0,12,17,4
SymbC1.scaffold4979.2,tr|A0A1Q9D3I6|A0A1Q9D3I6_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene28834 PE=4 SV=1,0.00E+00,GO:0016021;GO:0016020,NA,NA,19.03452566,-1.050547694,0.181080808,-5.801540781,6.57E-09,7.68E-08,TRUE,11,15,21,38,18,23,46,37,75,70,67,82,19,14,6,37,26,21,56,64,47,55,61,1,6,2,9,9,30,6,16,19,9,36,11,29,3,4,13,10,28,0,9,10,12,28,5
SymbC1.scaffold4981.1,sp|Q9C512|MNS1_ARATH,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 OS=Arabidopsis thaliana GN=MNS1 PE=1 SV=1",1.25E-98,GO:0004559;GO:0016020;GO:0004571;GO:0005783;GO:0006486;GO:0016787;GO:0005802;GO:0000139;GO:0005794;GO:0006491;GO:0046872;GO:0005768;GO:0005509;GO:0016021,K01230,PF01532,179.062357,-0.262127301,0.062280415,-4.208823947,0.0000257,0.00015,TRUE,141,182,193,228,176,142,287,275,540,395,486,487,198,111,86,317,188,167,382,347,186,328,392,78,143,72,119,129,360,82,153,200,170,235,179,167,38,75,134,165,337,91,97,90,194,416,122
SymbC1.scaffold4981.2,tr|A0A1Q9CMU4|A0A1Q9CMU4_SYMMI,Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum GN=ANKRD50 PE=4 SV=1,1.09E-80,GO:0016020;GO:0016021,NA,NA,20.01492787,0.830025258,0.20684284,4.012830497,0.00006,0.000322,TRUE,1,5,12,23,22,13,3,33,43,26,30,42,17,5,8,47,31,19,37,26,23,18,53,5,20,10,19,17,56,11,15,23,31,39,21,25,6,8,22,43,52,15,13,11,20,53,22
SymbC1.scaffold4981.4,tr|A0A1Q9EDB8|A0A1Q9EDB8_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene11382 PE=4 SV=1,4.39E-66,GO:0004252;GO:0016021;GO:0006508,NA,PF01694,61.96643446,0.221955349,0.094567603,2.347054828,0.01892247,0.048547488,TRUE,35,24,40,74,52,44,79,63,120,114,152,142,62,36,21,104,83,72,122,127,73,130,173,34,56,21,61,50,121,23,71,118,79,115,73,65,17,14,55,48,122,42,42,42,67,138,47
SymbC1.scaffold499.1,sp|O75179|ANR17_HUMAN,Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3,1.27E-10,GO:0031965;GO:0003676;GO:0016020;GO:0000785;GO:0002376;GO:1900246;GO:0042742;GO:0006275;GO:0005737;GO:0045787;GO:0003723;GO:0005515;GO:0016032;GO:0003682;GO:0043123;GO:0001955;GO:0051151;GO:1900087;GO:0045087;GO:1900245;GO:0005634,K16726,PF12796,104.8294551,0.311978521,0.097139534,3.211653485,0.001319735,0.004933198,TRUE,75,76,57,100,86,58,110,140,248,150,216,218,111,67,47,190,86,107,200,246,127,231,254,39,86,71,62,98,222,63,158,137,109,160,123,125,29,41,84,102,217,56,73,39,141,242,88
SymbC1.scaffold499.13,sp|P63088|PP1G_RAT,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Rattus norvegicus GN=Ppp1cc PE=1 SV=1,1.99E-148,GO:0005694;GO:0005521;GO:0005739;GO:0016787;GO:0003723;GO:0030182;GO:0043153;GO:0042752;GO:0019901;GO:0007049;GO:0004721;GO:0046872;GO:0006470;GO:0000784;GO:0016791;GO:0072357;GO:0043197;GO:0005634;GO:0008157;GO:0043234;GO:0046822;GO:0000776;GO:0005977;GO:0005654;GO:0008022;GO:0030496;GO:0019904;GO:0051301;GO:0000777;GO:0019433;GO:0047485;GO:0005737;GO:0048511;GO:0019903;GO:0005741;GO:0032922;GO:0004722;GO:0032403;GO:0005975;GO:0005730;GO:0005515;GO:0016607;GO:0005925;GO:0032154;GO:0005829;GO:0000775,K06269,PF16891;PF00149,27.92615549,0.996946208,0.155186796,6.424169026,1.33E-10,2.03E-09,TRUE,10,17,21,22,15,10,47,17,40,37,53,46,13,11,16,22,21,22,37,41,26,36,30,17,30,18,24,26,68,27,22,56,39,28,41,39,7,18,24,43,102,22,21,13,35,78,35
SymbC1.scaffold499.15,sp|P0A5T3|Y1567_MYCBO,Uncharacterized RNA pseudouridine synthase Mb1567 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=Mb1567 PE=3 SV=1,2.65E-14,GO:0009451;GO:0016853;GO:0001522;GO:0003723;GO:0009982,K06180,PF00849,21.72696899,-0.551220286,0.169449896,-3.252998666,0.00114194,0.00433458,TRUE,9,9,23,41,36,23,38,23,54,42,53,62,23,21,10,52,34,40,61,69,27,49,64,6,14,3,14,13,58,19,13,19,13,43,20,26,5,6,13,14,24,3,9,5,23,45,16
SymbC1.scaffold499.3,tr|A0A1Q9EJJ4|A0A1Q9EJJ4_SYMMI,Probable acetate kinase OS=Symbiodinium microadriaticum GN=ackA PE=3 SV=1,3.8E-72,GO:0006085;GO:0016310;GO:0016740;GO:0016301;GO:0016774;GO:0008776;GO:0000287;GO:0005524;GO:0046872;GO:0000166;GO:0005622;GO:0006082;GO:0008152,NA,PF00035,84.06784598,-0.281085743,0.099094296,-2.836548168,0.00456041,0.01446693,TRUE,93,81,84,91,69,62,178,92,178,186,213,177,117,63,61,134,62,75,168,199,86,152,180,40,78,63,66,55,162,52,77,112,67,115,70,83,15,39,62,52,144,45,45,30,71,202,39
SymbC1.scaffold499.4,sp|Q9D3E6|STAG1_MOUSE,Cohesin subunit SA-1 OS=Mus musculus GN=Stag1 PE=1 SV=3,4.44E-15,GO:0006366;GO:0000785;GO:0003682;GO:0005694;GO:0007059;GO:0005654;GO:0001228;GO:0005634;GO:0045944;GO:0051301;GO:0016604;GO:0007049,K06671,PF08514,294.9494439,-0.225928582,0.056802754,-3.977423039,0.0000697,0.000368,TRUE,159,219,267,414,346,219,533,400,769,638,865,849,294,161,96,569,405,344,658,691,331,590,743,88,236,130,234,221,584,156,287,363,280,476,296,346,75,87,213,290,520,114,208,115,312,628,214
SymbC1.scaffold499.7,sp|Q6QHF9|PAOX_HUMAN,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase OS=Homo sapiens GN=PAOX PE=1 SV=3,3.04E-44,GO:0008215;GO:0052899;GO:0046592;GO:0005777;GO:0016491;GO:0046208;GO:0052901;GO:0052902;GO:1901307;GO:0005102;GO:0055114;GO:0009447;GO:0046203;GO:0006598;GO:0052904;GO:0052903;GO:0005737;GO:0006596;GO:0005782;GO:0009446,K00308,PF01593,3.198756308,-2.458672409,0.484059388,-5.079278432,0.000000379,0.00000324,TRUE,3,5,2,8,7,3,8,7,25,7,16,12,7,5,5,3,10,5,10,7,4,9,8,0,0,0,0,1,3,0,2,2,1,4,1,2,0,0,2,0,1,0,0,0,2,4,1
SymbC1.scaffold499.9,tr|A0A0V0R1D5|A0A0V0R1D5_PSEPJ,Mitochondrial carrier domain OS=Pseudocohnilembus persalinus GN=PPERSA_03334 PE=3 SV=1,2.40E-13,GO:0016021;GO:0006810;GO:0016020,NA,PF00006,72.83308351,-0.459317473,0.118038704,-3.891244638,0.0000997,0.000506,TRUE,87,84,104,111,88,53,201,139,219,206,267,224,81,41,28,77,36,40,124,126,63,120,124,14,55,15,46,32,88,41,50,77,62,83,58,60,28,38,67,55,186,21,44,43,64,143,73
SymbC1.scaffold4990.5,tr|A0A1Q9EZ49|A0A1Q9EZ49_SYMMI,RING finger protein B OS=Symbiodinium microadriaticum GN=rngB PE=4 SV=1,6.27E-101,NA,NA,NA,18.59460322,-1.696576972,0.177815994,-9.541194441,1.41E-21,8.13E-20,TRUE,26,27,32,42,25,21,54,28,74,80,86,74,22,11,5,21,14,24,45,39,36,35,37,5,11,8,14,10,27,6,17,13,7,18,17,15,0,4,9,4,16,4,10,5,15,25,6
SymbC1.scaffold4992.8,tr|A0A1Q9DTQ3|A0A1Q9DTQ3_SYMMI,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Symbiodinium microadriaticum GN=PTPMT1 PE=4 SV=1,0.00E+00,GO:0016791;GO:0006470;GO:0016020;GO:0005509;GO:0008138;GO:0016311;GO:0016021,NA,NA,5.057471805,0.769704255,0.310714693,2.477205854,0.013241551,0.035999549,TRUE,0,1,2,6,8,7,1,5,12,3,10,16,5,2,1,5,5,5,3,8,3,1,6,3,4,2,5,10,12,3,2,5,8,6,8,4,2,2,12,6,14,4,1,1,7,25,8
SymbC1.scaffold50.1,sp|Q6QIY3|SCNAA_MOUSE,Sodium channel protein type 10 subunit alpha OS=Mus musculus GN=Scn10a PE=1 SV=2,1.99E-12,GO:0016021;GO:0019233;GO:0086016;GO:0060371;GO:0055117;GO:0086043;GO:0005216;GO:0016020;GO:0006811;GO:0005272;GO:0005248;GO:0006810;GO:0002027;GO:0060078;GO:0030424;GO:0044299;GO:0070062;GO:0034765;GO:0044325;GO:0001518;GO:0086010;GO:0005886;GO:0006814;GO:0055085;GO:0019228;GO:0035725;GO:0005244;GO:0061337,K04842,PF00520,45.27421751,0.450063037,0.124121871,3.625976912,0.000288,0.001299792,TRUE,7,22,33,46,38,35,43,81,103,75,97,78,29,22,9,83,58,49,91,80,48,59,90,15,31,23,36,49,141,33,45,82,71,68,64,63,12,17,50,51,122,26,29,26,46,117,33
SymbC1.scaffold50.6,tr|A0A1Q9EQ75|A0A1Q9EQ75_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene6800 PE=4 SV=1,1.23E-72,NA,NA,NA,17.96567715,-0.75393497,0.183209743,-4.115146704,0.0000387,0.000217,TRUE,35,23,28,35,22,20,32,15,38,27,34,34,34,8,8,22,29,23,33,32,17,32,33,8,22,8,12,17,33,12,13,23,14,20,12,12,4,7,9,5,27,6,10,4,17,33,9
SymbC1.scaffold5000.1,tr|A0A1Q9C6H8|A0A1Q9C6H8_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene41288 PE=4 SV=1,5.46E-10,GO:0016021;GO:0016020,NA,NA,26.73608393,3.155127982,0.213567579,14.77344078,2.17E-49,1.24E-46,TRUE,3,3,8,2,9,5,4,5,9,7,6,4,37,24,13,67,41,34,83,90,23,89,85,15,38,20,17,25,79,18,22,39,39,56,31,44,6,11,21,32,65,19,20,17,43,89,25
SymbC1.scaffold5001.1,sp|P36620|ILVB_SCHPO,"Acetolactate synthase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=ilv1 PE=3 SV=2",3.88E-118,GO:0030976;GO:0005739;GO:0009097;GO:0009082;GO:0005948;GO:0016740;GO:0003984;GO:0000287;GO:0003824;GO:0009099;GO:0046872;GO:0008652;GO:0050660,K01652,PF02775;PF00205;PF02776,106.3968667,-0.21393286,0.082785309,-2.584188691,0.009760838,0.027796702,TRUE,73,84,113,147,106,93,146,163,288,197,305,284,107,57,58,206,114,106,198,203,147,183,241,34,99,52,84,65,190,54,101,175,116,137,99,131,24,33,72,100,188,56,70,55,110,197,70
SymbC1.scaffold5006.2,sp|Q54XK2|SC61A_DICDI,Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1,0,GO:0015450;GO:0016021;GO:0031204;GO:0015031;GO:0005789;GO:0006810;GO:0005783;GO:0016020,K10956,PF00344;PF10559,152.0636986,0.29145069,0.078025597,3.735321513,0.000187,0.00089,TRUE,64,91,119,154,112,87,288,196,274,329,361,329,133,76,66,216,137,126,292,303,149,267,294,83,157,96,127,129,355,98,184,260,161,206,175,209,40,55,131,159,340,92,131,49,183,382,119
SymbC1.scaffold5007.2,sp|Q9ASS7|CAAT2_ARATH,"Cationic amino acid transporter 2, vacuolar OS=Arabidopsis thaliana GN=CAT2 PE=1 SV=1",1.16E-07,GO:0003333;GO:0005774;GO:0006810;GO:0016020;GO:0009705;GO:0005773;GO:0015171;GO:0016021;GO:0006865;GO:0080144,NA,PF13520,4.525702149,-1.078620639,0.332926329,-3.239817778,0.001196061,0.004514303,TRUE,3,6,11,12,6,3,7,8,12,10,15,9,10,8,1,7,9,2,10,9,6,13,20,0,2,2,1,3,6,1,3,3,2,11,3,7,0,2,2,2,5,2,1,0,5,5,2
SymbC1.scaffold5009.1,tr|J8NTV1|J8NTV1_BACCE,Uncharacterized protein OS=Bacillus cereus BAG2X1-1 GN=ICU_01848 PE=4 SV=1,6.84E-27,GO:0016020;GO:0016021,NA,PF00201,19.42005171,0.68351261,0.153548467,4.451445344,0.00000853,0.0000555,TRUE,12,19,15,15,23,16,22,19,34,24,30,38,17,7,3,24,13,7,27,21,15,22,24,8,22,14,18,17,54,10,20,41,29,24,21,26,5,11,22,14,48,15,25,8,25,59,27
SymbC1.scaffold501.2,tr|A0A1Q9CZZ1|A0A1Q9CZZ1_SYMMI,3-oxoacyl-[acyl-carrier-protein] reductase FabG OS=Symbiodinium microadriaticum GN=fabG PE=4 SV=1,1.10E-26,GO:0055114;GO:0016491,NA,NA,4.120598495,-0.953845349,0.387358514,-2.46243548,0.0137997,0.037299641,TRUE,2,4,5,4,6,9,3,1,8,13,10,24,5,3,2,5,9,9,2,17,5,4,9,0,2,0,2,6,14,4,5,3,5,7,3,3,1,1,2,0,5,2,2,1,3,9,2
SymbC1.scaffold5012.2,sp|Q6DIP9|WASC5_XENTR,WASH complex subunit 5 OS=Xenopus tropicalis GN=washc5 PE=2 SV=1,2.14E-93,GO:0015031;GO:0006810;GO:0071203;GO:0005769;GO:0005768,K18464,PF10266,37.61149389,1.140050358,0.128486942,8.872888909,7.13E-19,3.01E-17,TRUE,6,12,13,24,22,21,22,37,64,58,54,64,23,12,10,45,39,25,53,64,27,46,71,27,32,17,54,54,141,33,45,59,64,57,60,31,10,9,56,46,119,26,27,20,63,138,43
SymbC1.scaffold5018.1,tr|A7RAN2|A7RAN2_PBCVA,Putative uncharacterized protein c078L OS=Paramecium bursaria Chlorella virus AR158 GN=c078L PE=4 SV=1,6.40E-08,NA,NA,NA,25.76907883,0.40026773,0.170022133,2.35420955,0.018562144,0.047764863,TRUE,11,19,17,20,14,13,39,12,52,60,68,68,20,19,15,32,34,15,40,67,16,47,46,16,40,15,27,21,73,16,15,25,24,37,27,27,10,14,31,16,52,18,21,5,29,66,29
SymbC1.scaffold5019.1,sp|Q5UQA6|ADPRM_MIMIV,Putative ADP-ribosyl glycohydrolase L543 OS=Acanthamoeba polyphaga mimivirus GN=MIMI_L543 PE=3 SV=1,3.81E-21,GO:0016787,NA,PF03747,9.299147411,2.951196709,0.325242149,9.073844565,1.15E-19,5.31E-18,TRUE,0,2,2,3,6,2,5,1,2,4,4,3,0,1,3,6,5,5,2,9,4,6,2,4,10,7,22,17,36,10,17,17,18,8,13,5,4,5,23,9,30,6,14,13,17,43,9
SymbC1.scaffold502.4,tr|A0A1Q9CW32|A0A1Q9CW32_SYMMI,Purple acid phosphatase 22 OS=Symbiodinium microadriaticum GN=PAP22 PE=4 SV=1,1.26E-113,GO:0016021;GO:0016020;GO:0016787,NA,PF04422;PF04432,275.5870262,0.180127805,0.071736599,2.510961052,0.012040298,0.033275459,TRUE,221,186,229,269,200,210,391,362,609,511,574,600,257,227,190,350,264,217,554,623,298,520,490,121,274,149,179,183,476,139,340,402,256,375,271,414,87,140,192,238,498,173,211,151,261,547,199
SymbC1.scaffold502.5,tr|A0A1Q9D2X5|A0A1Q9D2X5_SYMMI,Phosphodiesterase OS=Symbiodinium microadriaticum GN=NLRC3 PE=3 SV=1,2.02E-152,GO:0016787;GO:0008081;GO:0004114;GO:0003755;GO:0046872;GO:0000413;GO:0007165;GO:0016491;GO:0016853;GO:0055114,NA,PF01266,24.73502042,-0.513302871,0.149824539,-3.426026689,0.000612,0.002522696,TRUE,17,16,28,58,26,18,39,20,58,59,75,93,33,18,12,43,42,28,55,81,27,67,73,4,15,6,25,26,57,9,23,24,21,40,32,23,0,2,26,14,49,7,12,11,30,56,13
SymbC1.scaffold5021.2,sp|Q6DBN1|Y4845_ARATH,BTB/POZ domain-containing protein At4g08455 OS=Arabidopsis thaliana GN=At4g08455 PE=1 SV=1,1.10E-08,GO:0019005;GO:0005737;GO:0016567;GO:0042787;GO:0030162;GO:0031625;GO:0043161;GO:0005515,K10523,PF00651,14.95149657,-1.114004677,0.190593444,-5.844926516,5.07E-09,6.06E-08,TRUE,21,27,23,22,22,17,31,12,43,49,49,51,19,4,11,28,23,19,32,39,15,50,34,8,9,3,9,7,20,3,9,10,7,24,13,15,1,4,12,3,20,6,10,1,6,28,10
SymbC1.scaffold5028.3,sp|Q9AJU2|ELMM1_STROV,8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase OS=Streptomyces olivaceus GN=elmMI PE=1 SV=1,5.05E-24,GO:0016740;GO:0008168;GO:0017000;GO:0046872;GO:0032259,K19567,NA,4.000635908,0.972764225,0.325061248,2.992556725,0.002766512,0.009393097,TRUE,0,3,0,7,5,2,3,2,12,5,9,12,4,2,1,5,4,2,9,7,1,4,5,1,1,0,3,0,11,4,1,6,5,9,4,4,2,0,9,13,20,4,1,2,4,11,8
SymbC1.scaffold5028.5,tr|A0A1Q9D4N0|A0A1Q9D4N0_SYMMI;tr|A0A1Q9F3T0|A0A1Q9F3T0_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene28307 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene1506 PE=4 SV=1,7.19E-13,GO:0055114;GO:0016491,NA,NA,103.0024478,0.696023355,0.102286737,6.804629537,1.01E-11,1.82E-10,TRUE,66,70,90,90,73,62,114,99,185,151,175,207,57,45,37,99,59,41,100,130,71,145,111,64,129,72,106,87,237,62,133,228,154,110,129,122,42,56,99,117,239,59,112,83,137,281,82
SymbC1.scaffold5028.7,sp|Q9CZB3|THUM2_MOUSE,THUMP domain-containing protein 2 OS=Mus musculus GN=Thumpd2 PE=2 SV=3,7.96E-31,GO:0032259;GO:0003723;GO:0005575;GO:0016423;GO:0008168;GO:0016740;GO:0030488,NA,PF02926;PF01170,72.24038024,-0.508489369,0.10179722,-4.995120405,0.000000588,0.00000488,TRUE,96,77,63,72,90,67,168,101,194,184,183,185,84,61,48,115,68,54,167,164,82,138,145,26,57,38,36,42,114,36,77,81,42,84,66,95,21,22,47,61,119,27,47,25,58,127,35
SymbC1.scaffold503.1,tr|A0A1Q9E0G3|A0A1Q9E0G3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene16384 PE=4 SV=1,8.29E-26,GO:0016020;GO:0016021,NA,NA,25.11449288,-1.146528345,0.142951529,-8.020399301,1.05E-15,3.23E-14,TRUE,18,16,30,48,36,27,51,54,86,83,103,115,25,17,14,41,34,25,60,85,35,53,58,7,23,5,12,14,45,10,25,27,15,31,20,27,4,4,19,14,32,5,12,6,20,32,15
SymbC1.scaffold5036.1,tr|A0A1Q9EYL3|A0A1Q9EYL3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene3505 PE=4 SV=1,2.94E-32,GO:0016020;GO:0016021,NA,NA,8.300279307,0.864356465,0.261816585,3.301381632,0.000962,0.003733335,TRUE,0,1,7,13,9,8,3,5,13,7,10,26,13,1,5,16,9,14,13,15,3,4,18,0,10,3,9,5,30,4,11,9,15,15,8,10,3,5,12,11,23,4,7,3,18,23,6
SymbC1.scaffold5039.3,tr|A0A1Q9C6C3|A0A1Q9C6C3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene41378 PE=4 SV=1,3.63E-33,NA,NA,NA,9.186965269,-0.594226232,0.221163709,-2.686816182,0.007213664,0.021435176,TRUE,4,8,12,14,16,8,16,6,22,20,35,34,13,5,5,20,19,15,21,27,11,28,18,1,3,2,4,5,25,4,9,7,10,16,9,4,0,3,11,5,18,7,3,1,8,21,7
SymbC1.scaffold504.1,tr|A0A1Q9DA34|A0A1Q9DA34_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene26178 PE=4 SV=1,3.89E-61,GO:0016020;GO:0016021,NA,NA,54.74765729,0.385376516,0.130263088,2.958447573,0.003091928,0.010341447,TRUE,21,23,31,65,44,40,33,74,122,67,102,130,58,19,12,140,78,79,118,131,47,83,166,21,43,18,58,59,145,26,65,97,88,105,70,42,12,24,56,49,121,30,34,27,81,137,34
SymbC1.scaffold5041.4,sp|O00782|TCPG_OXYGR,T-complex protein 1 subunit gamma OS=Oxytricha granulifera PE=3 SV=1,0.00E+00,GO:0006457;GO:0005737;GO:0051082;GO:0000166;GO:0005524,NA,PF00118,169.5205577,-0.190935516,0.080291427,-2.378031168,0.017405355,0.045272552,TRUE,162,174,221,187,146,115,270,218,458,334,425,427,183,93,111,246,128,103,306,296,200,276,309,93,171,91,150,124,304,79,173,269,174,204,175,169,45,59,108,145,289,89,114,79,198,380,105
SymbC1.scaffold5044.1,tr|A0A1Q9C7Y1|A0A1Q9C7Y1_SYMMI;tr|A0A060RYU0|A0A060RYU0_PLARE,description1:Required for meiotic nuclear division protein 1-like OS=Symbiodinium microadriaticum GN=Rmnd1 PE=4 SV=1//description2:Uncharacterized protein OS=Plasmodium reichenowi GN=PRCDC_1031900 PE=4 SV=1,2.48E-12,GO:0016020;GO:0016021,NA,PF02582,12.33633948,0.616408603,0.224836486,2.74158618,0.006114332,0.018539284,TRUE,9,10,5,12,4,8,15,8,24,19,18,24,13,9,5,22,11,8,13,15,9,11,18,6,19,14,17,18,44,9,22,22,11,7,9,10,0,5,12,10,28,2,13,8,25,40,10
